"id","table_schema","table_name","file_column_name","db_column_name","column_type","column_required","value_required","grouping"
72,"acsm","tps","Filament_I","filament_i","NUMERIC(6, 3)",True,True,"tps"
73,"acsm","tps","Filament_N","filament_n","NUMERIC(21, 0)",True,True,"tps"
74,"acsm","tps","Interlock","interlock","SMALLINT",True,True,"tps"
75,"acsm","tps","HVp","hvp","NUMERIC(6, 1)",True,True,"tps"
76,"acsm","tps","HVn","hvn","NUMERIC(6, 1)",True,True,"tps"
77,"acsm","tps","Turbo_speed","turbo_speed","INTEGER",True,True,"tps"
78,"acsm","tps","Turbo_power","turbo_power","NUMERIC(5, 1)",True,True,"tps"
79,"acsm","tps","Fore_pc","fore_pc","NUMERIC(5, 1)",True,True,"tps"
80,"acsm","tps","TPS_temp","tps_temp","NUMERIC(4, 1)",True,True,"tps"
81,"acsm","tps","Press_ioniser","press_ioniser","NUMERIC(8, 6)",True,True,"tps"
82,"acsm","tps","Press_inlet","press_inlet","NUMERIC(5, 2)",True,True,"tps"
83,"acsm","tps","AIN_3","ain_3","NUMERIC(6, 3)",True,True,"tps"
84,"acsm","tps","AIN_4","ain_4","NUMERIC(6, 3)",True,True,"tps"
85,"acsm","tps","AIN_5","ain_5","NUMERIC(6, 3)",True,True,"tps"
86,"acsm","tps","AIN_6","ain_6","NUMERIC(6, 3)",True,True,"tps"
87,"acsm","tps","Heater_PWM","heater_pwm","SMALLINT",True,True,"tps"
88,"acsm","tps","Heater_I","heater_i","NUMERIC(5, 2)",True,True,"tps"
89,"acsm","tps","Heater_V","heater_v","NUMERIC(5, 2)",True,True,"tps"
90,"acsm","tps","Heater_T","heater_t","NUMERIC(5, 1)",True,True,"tps"
91,"acsm","tps","Servo2_PWM","servo2_pwm","SMALLINT",True,True,"tps"
92,"acsm","tps","Servo3_PWM","servo3_pwm","SMALLINT",True,True,"tps"
93,"acsm","sample_analysis","Year","year","SMALLINT",True,True,"sample_analysis"
94,"acsm","sample_analysis","Stop_DOY","stop_doy","NUMERIC(9, 6)",True,True,"sample_analysis"
95,"acsm","sample_analysis","Status","status","SMALLINT",True,True,"sample_analysis"
96,"acsm","diag_calib","IE_ionspg","ie_ionspg","NUMERIC(4, 1)",True,True,"diag_calib"
97,"acsm","mass_loadings","Chl","chl","NUMERIC(6, 3)",True,True,"mass_loadings"
98,"acsm","mass_loadings","NH4","nh4","NUMERIC(6, 3)",True,True,"mass_loadings"
99,"acsm","mass_loadings","NO3","no3","NUMERIC(6, 3)",True,True,"mass_loadings"
100,"acsm","mass_loadings","Org","org","NUMERIC(6, 3)",True,True,"mass_loadings"
101,"acsm","mass_loadings","SO4","so4","NUMERIC(6, 3)",True,True,"mass_loadings"
102,"acsm","mass_loadings","RIE_Chl","rie_chl","NUMERIC(6, 3)",True,True,"mass_loadings"
103,"acsm","mass_loadings","RIE_NH4","rie_nh4","NUMERIC(6, 3)",True,True,"mass_loadings"
104,"acsm","mass_loadings","RIE_NO3","rie_no3","NUMERIC(6, 3)",True,True,"mass_loadings"
105,"acsm","mass_loadings","RIE_Org","rie_org","NUMERIC(6, 3)",True,True,"mass_loadings"
106,"acsm","mass_loadings","RIE_SO4","rie_so4","NUMERIC(6, 3)",True,True,"mass_loadings"
107,"acsm","mass_loadings","f43","f43","NUMERIC(4, 2)",True,True,"mass_loadings"
108,"acsm","mass_loadings","f44","f44","NUMERIC(4, 2)",True,True,"mass_loadings"
109,"acsm","mass_loadings","f57","f57","NUMERIC(4, 2)",True,True,"mass_loadings"
110,"acsm","mass_loadings","f60","f60","NUMERIC(4, 2)",True,True,"mass_loadings"
111,"acsm","mass_loadings","HOA","hoa","NUMERIC(6, 3)",True,True,"mass_loadings"
112,"acsm","mass_loadings","OOA","ooa","NUMERIC(6, 3)",True,True,"mass_loadings"
113,"acsm","mass_loadings","CE","ce","NUMERIC(3, 1)",True,True,"mass_loadings"
114,"acsm","sample_analysis","start_date","start_date","TIMESTAMP",True,True,"sample_analysis"
115,"acsm","sample_analysis","stop_date","stop_date","TIMESTAMP",True,True,"sample_analysis"
116,"acsm","sample_analysis","Start_DOY","start_doy","NUMERIC(9, 6)",True,True,"sample_analysis"
117,"acsm","diag_calib","ABref","abref","INTEGER",True,True,"diag_calib"
118,"acsm","diag_calib","AB_total","ab_total","INTEGER",True,True,"diag_calib"
119,"acsm","diag_calib","AB_bg","ab_bg","INTEGER",True,True,"diag_calib"
120,"acsm","diag_calib","Flow_ccs","flow_ccs","NUMERIC(4, 2)",True,True,"diag_calib"
121,"acsm","diag_calib","Flow_p0","flow_p0","NUMERIC(7, 5)",True,True,"diag_calib"
122,"acsm","diag_calib","Flow_p1","flow_p1","NUMERIC(7, 5)",True,True,"diag_calib"
123,"acsm","diag_calib","n_total","n_total","SMALLINT",True,True,"diag_calib"
